Disease,Symptoms,Medical_Specialty
adult adhd,"low_frustration_tolerance, your_life, that, problems, ongoing_problems, adhd__impulsiveness_disorganization, system:'you, outbursts, attention, patients, symptoms, a_task_trouble, fewer_symptoms, your_difficulties, anxiety_or_mood_disorders, adults, major_symptoms, adhd_adhd_adhd_diagnosis, these_persistent_and_disruptive_symptoms, tasks, many_adults, stress, some_adults, poor_time_management, certain_adhd_symptoms, almost_everyone, other_conditions, adhd_adhd_many_adults, some_people, meetings, the_main_features, everyday_tasks, it, typical_behavior, traffic, you, adhd_adhd_adult_adhd_symptoms, excessive_activity, the_past, difficulty, social_plans, anger, hot_temper_trouble, what, more_than_one_area, a_challenge, their_lives, daily_functioning, adhd, some_point, early_childhood, those, line, depression, anxiety, impulses, some_symptoms, i, impatience, restlessness, mood_swings, missed_deadlines, patient, at_least_one_other_mental_health_condition, they, the_inability","Otolaryngologist, Psychiatrist"
adult congenital heart disease,"signs, system:'you, patients, irregular_heart_rhythms, symptoms, adults, congenital_heart_disease, adulthood, a_congenital_heart_defect, some_people, lips_and_fingernails_(cyanosis)_shortness, edema, organs, arrhythmias)_blue_skin, i, body_tissue, breath, patient, common_congenital_heart_disease_symptoms",Cardiologist
adult stills disease,"hands, system:'you, patients, lupus, this_disorder, most_people, symptoms, sore_throat, your_trunk, the_signs, wrists, ankles, lymphoma, the_joint_discomfort, your_neck, muscular_pain, a_type, achy_and_swollen_joints, still's_disease, especially_your_knees, the_first_symptoms, shoulders, cancer, the_fever, adult, your_daily_activities, at_least_two_weeks, legs, other_conditions, the_late_afternoon, you, a_daily_fever, the_rash, the_lymph_nodes, your_joints, muscle_pain, early_evening, those, your_temperature, two_fever_spikes, i, a_combination, a_week, arms, the_following_signs, rash, patient, this, a_salmon-pink_rash, at_least_102_f, fever, the_pain","Orthopedist, Otolaryngologist"
age spots,"they, hands, that, the_back, system:'you, patients, people, children, can_group, the_skin, a_speckled_or_mottled_appearance, increased_pigmentation, the_most_sun_exposure, repeated_sun_exposure, adults, feet, close__close_age_spots, them, all_skin_types, the_hand, light_skin, freckles, shoulders, the_years, which, the_backs, (13_millimeters, the_hand_age_spots, oval_areas, no_sun_exposure, the_hand____________age_spots, freckle_size, tops, size, upper_back_range, areas, skin, fade, about_1/2_inch, i, patient, the_hand___age_spots, the_hand_________age_spots, age_spots, the_hand________________age_spots, group","Dermatologist, Otolaryngologist"
agoraphobia,"your_life, that, problems, major_distress, system:'you, pressure, patients, train, a_feeling, malls, typical_agoraphobia_symptoms, a_peak, symptoms, agoraphobia, parking_lots, fear, avoidance, diarrhea, anxiety_disorder, dizziness, sudden_flushing, small_stores, other_areas, extreme_fear, chills, open_spaces, another_panic_attack, a_panic_attack, a_type, stomach, the_actual_danger, other_disabling_or_embarrassing_symptoms, the_situation, work, a_variety, intense_physical_symptoms, bridges, some_people, these_situations, help, plane, panic_disorder, it, similar_situations, you, proportion, an_attempt, a_few_minutes, rapid_heart_rate, enclosed_spaces, a_heart_attack, chest_pain, a_companion, social_situations, panic_attacks, the_place, addition, anxiety, future_panic_attacks, line, a_sudden_feeling, i, your_fear, control, a_loss, public_transportation, the_fear, six_months, a_bus, patient, elevators, crowds, movie_theaters","Gastroenterologist, Psychiatrist"
aids,"patches_in_throat, system:'you, i, patients, patient, extra_marital_contacts, high_fever","Infectious Disease Specialist, Otolaryngologist"
airplane ear,"airplane_ear, fullness, system:'you, patients, pain, symptoms, your_ear_feeling, spinning_sensation, tinnitus, moderate_hearing_loss, stuffiness, moderate_discomfort, you, severe_pain, severe_hearing_loss, i, your_ear, common_signs, patient, one_or_both_ears",Otolaryngologist
albinism,"people, len-tij-ih-neez, the_retina, the_brain, sunburn, color, slight_changes, hair, strabismus, a_key_feature, things, the_optic_nerve, an_object, skin, bright_light, eye_color, i, astigmatism, head_posture, age, patient, melanin_production, childhood, the_thin_layer, albinism, system:'you, eyebrows, very_light-colored_eyes, patients, light, brown, the_curve, vision, the_head, the_eyes, the_teen_years, pigmentation, african_or_asian_descent, hair_color, the_sun, the_environment, very_light-colored_skin, tissue, which, some_people, three_dimensions, others, minerals, who, eyes, skin_color, water, the_inside_back_wall, that, the_lens, large_freckle-like_spots, an_uncommon_head_position, extreme_sensitivity, early_adulthood, the_eye, solar_lentigines, all_types, no_ability, very_light_blue, moles, eye_movements, hair_hair_color, the_same_direction, legal_blindness, a_condition, african_descent, parents, enough_pigment, eye_color_eyelashes, some_lighting, contact, the_irises, nerve_signals, poor_depth_perception, differences, back-and-forth_movement, vision_vision_problems, the_front_surface, photophobia, siblings, blurred_vision, a_difference, exposure, problems, the_same_time, symptoms, the_easiest_form, reduced_vision, the_colored_parts, results, freckles, other_blood_relatives, the_usual_nerve_pathways, objects, white_hair, eye_problems, this_difference, the_development, complete_blindness, this, they","Dermatologist, Neurologist"
alcohol intolerance,"an_alcoholic_beverage, a_reaction, signs, alcohol_intolerance, pre-existing_asthma, system:'you, i, patients, ingredients, facial_redness, symptoms, hives, runny_or_stuffy_nose_low_blood_pressure_nausea, patient, itchy_skin_bumps, diarrhea","Dermatologist, Pulmonologist"
alcohol intoxication,"speech, impaired_coordination, confusion",General Practitioner
alcohol poisoning,"a_person, the_gag_reflex, the_consequences, system:'you, a_doctor, patients, (unconsciousness, symptoms, medical_help, seizures, his_or_her_head, caution, (hypothermia, the_classic_signs, she, your_local_emergency_number, all_the_above_signs, time, an_emergency, her, alcohol_poisoning, risk, irregular_breathing, pale_skin_low_body_temperature, alcohol, information, breaths, his_or_her_own_vomit, help, it, the_way, blue-tinged_skin, you, hospital_or_emergency_personnel, loss, the_right_help, a_gap, more_than_10_seconds, immediate_medical_care, your_friend, the_person, what, consciousness, yourself, confusion, he, the_side, him, who, someone, slow_breathing, i, the_kind, less_than_eight_breaths, alcohol_poisoning_signs, an_unconscious_person, medical_intervention, patient, this, amount","Dermatologist, Pulmonologist"
alcohol use disorder,"negative_consequences, 355_milliliters, 8_to_9_ounces, school, these_symptoms__alcohol_use_disorder, poor_judgment, a_strong_craving, alcohol, 148_milliliters, alcoholism, inappropriate_behavior, health_issues, i, hard_liquor, distilled_spirits, your_ability, alcohol_consumption, patient, hobbies, coma, repeated_alcohol_use, situations, signs, system:'you, behavior_problems, patients, speech, periods, alcohol_use, 1.5_ounces, about_7%_alcohol, these, the_number, sweating, it, the_national_institute, about_5%_alcohol, restlessness, very_high_blood_alcohol_levels, tremors, 12_ounces, events, attention, hallucinations, about_40%_alcohol, a_tolerance, alcohol_withdrawal, alcohol_intoxication, unsuccessful_attempts, cravings, swimming, 237_to_266_milliliters, malt_liquor, permanent_brain_damage, work, unstable_moods, agitation, your_bloodstream_increases, alcohol_use_disorder, rapid_heartbeat, regular_beer, alcohol_intoxication_results, major_obligations, what, ""blackouts, continued_use, tolerance, drunk_(alcohol_intoxication, the_amount, and_occasionally_seizures, several_hours, problems, social_and_work_activities, nausea, symptoms, 1_drink, hand_tremors, urge, a_reduced_effect, relationship_problems, time, even_death, about_12%_alcohol, one_standard_drink, and_poor_coordination, a_lot, mental_changes, home, memory, you, withdrawal_symptoms, the_same_amount, social_situations, wine, 5_ounces, the_blood_alcohol_concentration, 44_milliliters, anxiety, withdrawal, alcohol_abuse, its_effect, inability, bad_effects, neglecting_responsibilities","Neurologist, Psychiatrist"
alcoholic hepatitis,"your_abdomen, the_liver_kidney, that, jaundice, system:'you, often_low_grade_fatigue, patients, people, the_appetite, liver_failure, other_signs, symptoms, additional_signs, the_skin, swelling_of_stomach, their_calories, ascites)_confusion, severe_alcoholic_hepatitis, appetite_nausea, the_eyes, alcoholic_hepatitis, alcohol_suppresses, behavior, toxins, fluid_accumulation, history_of_alcohol_consumption, alcohol, a_buildup, yellowish_skin, loss, abdominal_tenderness_fever, distention_of_abdomen, whites, i, heavy_drinkers, the_most_common_sign, weakness__malnutrition, large_amounts, patient","Dermatologist, Gastroenterologist"
allergies,"stuffy_nose_watery, hay_fever, tongue, a_drug_allergy, wheezing_anaphylaxis, stings, some_types, signs, system:'you, patients, eczema, the_nose, itchy_skin, allergies, symptoms, the_lips, breath_skin_rash, itch_redden_flake, a_food_allergy, anaphylaxis, the_substance, shortness, chest_tightness, shock, a_drop, atopic_dermatitis, sinuses, breath_anaphylaxis__a_drug_allergy, which, and_digestive_system, foods, roof, nasal_passages, severe_shortness, blood_pressure, allergy_symptoms, allergic_reactions, a_life-threatening_medical_emergency, the_mouth_runny, loss, red_or_swollen_eyes, you, an_insect_sting_allergy, the_body_cough, weak_pulse_nausea, your_airways, face, consciousness, a_life-threatening_reaction, an_allergic_skin_condition, swelling_(edema, the_sting_site_itching, skin, wheezing, eyes, i, some_severe_cases, conjunctivitis, allergic_rhinitis, hives, patient, sneezing_itching, a_large_area, a_severe_reaction","Dermatologist, Otolaryngologist"
allergy,"my_eyes, chest_pains, my_sense, anything, a_runny_nose_and_itchy_eyes, lips, the_swelling, a_few_days, heat, fevers, my_nose, night, nasal_congestion, trouble, my_muscles, chest, my_head, my_appetite, a_sore_throat, chest_pain, breathing_issues, my_face, i, my_chest_hurts, patient, cramps, my_taste, chest_discomfort, system:'you, my_stomach, my_body, patients, a_headache, difficulty_breathing, the_night, itchy_skin, the_skin, diarrhea, taste, the_area, a_dry_cough, other_body_parts, breathing_problems, a_stiff_neck, which, cheeks, a_hoarse_voice, watery_eyes, it, a_scratchy_throat, all_the_time, a_blocked_nose, queasy, headaches, the_puffiness, my_mouth, smell, my_whole_body, my_throat, that, pain, cough, chills, swollen_skin, a_runny_nose, my_cheeks, asthma, body, muscle_pain, sneezing, stomach_cramps, runny_eyes, shaky, ache, itchy_eyes, flaky_skin, and_a_cough, the_puffing, fever, a_really_bad_sore_throat, nausea, my_lips, eye_inflammation, symptoms, a_cough, times, especially_my_lips, a_lot, my_chest, a_hard_time, a_stuffy_nose, difficulty, muscle_aches, wheezing, a_tickle, breath, my_skin, red_skin, me","Otolaryngologist, Pulmonologist"
alopecia,"hair_loss, patchy_or_generalized_hair_loss",General Practitioner
alpha gal syndrome,"the_system, red_meat, tongue, that, other_food_allergies, peanuts, other_allergens, the_body, system:'you, one_reason, patients, the_time_delay, dairy_products, most_reactions, symptoms, alpha-gal_syndrome, the_lips, stomach_pain, diarrhea, the_symptoms, minutes, them, a_reaction, shortness, blood, stomach, vomiting, a_t-bone_steak, gelatins, foods, lamb, beef, the_alpha-gal_molecules, the_reason, it, you, reactions, an_allergic_reaction, meat_products, researchers, the_delayed_reaction, throat, common_food, those, products, wheezing, dinner, or_other_body_parts, midnight, i, scaly_skin, pork, breath, hives, patient, an_alpha-gal_allergic_reaction, mammals, a_possible_connection, organ_meats, example, they","Otolaryngologist, Pulmonologist"
alzheimers disease,"the_disease, a_person, people, the_brain, the_names, poor_choices, advanced_alzheimer's_disease, crafts, memories, thoughts, sensible_decisions, trouble, changes, conversations, social_withdrawal, things, other_symptoms, moods, sense, social_settings, clothes, decisions, i, patient, reasoning_alzheimer's_disease, a_decline, questions, the_right_words, system:'you, familiar_tasks, thinking, patients, everyday_situations, a_meal, books, inhibitions, appointments, the_ability, weather, places, family_members, alzheimer's_disease, it, misplace_items, activities, distrust, these_skills, others, everyday_problems, anger, the_memory_loss, aggression, more_than_one_task, numbers, preserved_skills, the_key_symptom, they, the_following:__depression, that, abstract_concepts, memory_loss, the_course, events, sleeping_habits, something, the_issues, stories, judgments, food, memory_lapses, work, memory_everyone, everyday_objects, statements, music, early_signs, mood_swings, a_family_member, personality_and_behavior_brain_changes, skills, friend, problems, dressing, symptoms, the_stove, times, them, finances, some_skills, time, order, interest, objects, part, the_wrong_type, a_favorite_game, growing_trouble, behaviors, home, recent_events, memory, a_struggle, loss, decisions_alzheimer's_disease, routine_activities, difficulty, balance_checkbooks, completing_steps, the_person, brain_changes, parts, someone, basic_tasks, major_changes, bathing, this, example, bills",Neurologist
ambiguous genitalia,"two_x_chromosomes, the_absence, that, severity, the_disorder, system:'you, urine, patients, one_or_both_testicles, babies, testicles, a_micropenis, the_problem, the_appearance, labia, your_baby, genital_development, one_y_chromosome, an_abnormally_small_penis, which, (urethra, a_condition, the_fused_labia__babies, the_urethral_opening, an_enlarged_clitoris, testes, the_penis, characteristics, ambiguous_genitalia, a_labia, the_tip, one_x, what, hypospadias, who, a_scrotum, i, folds, an_empty_scrotum, birth, the_narrow_tube, semen, the_scrotum, patient, a_penis_closed_labia, the_cause, your_medical_team","Otolaryngologist, Psychiatrist"
ameloblastoma,"teeth, jaw, the_tumor, signs, system:'you, i, no_symptoms, patients, pain, a_lump, the_shape, symptoms, position, patient, the_lower_face, the_jaw",Oncologist
amenorrhea,"the_absence, periods, system:'you, i, you, patients, amenorrhea, milky_nipple_discharge_hair_loss_headache_vision, excess_facial_hair_pelvic_pain_acne, other_signs, symptoms, patient, the_cause",Dermatologist
amnesia,"that, problems, memory_loss, skills, system:'you, short-term_memory, false_memories, patients, people, the_amnesia, this_disorder, most_people, mild_cognitive_impairment, other_problems, the_two_main_features, the_names, other_cognitive_problems, words, new_information, time, these_problems, bike_riding, trouble, previously_familiar_information, isolated_memory_loss, awareness, attention_span, real_memories, experiences, judgment_and_visual-spatial_skills, identity, a_decline, it, recent_memories, past_presidents, memory, the_current_president, more-remote_or_deeply_ingrained_memories, the_month, judgment, past_events, what, breakfast, other_symptoms, confusion, disorientation, additional_symptoms, language, daily_functioning, those, a_common_symptom, a_person's_intelligence, personality, i, dementia, a_memory_disorder, amnesia, patient, general_knowledge, the_cause, childhood, example, they",Psychiatrist
ampullary cancer,"eyes, weight_loss, signs, system:'you, i, ampullary_cancer, patients, the_rectum_nausea, yellowing, symptoms, patient, the_skin, jaundice)_clay-colored_stools_abdominal_pain_fever",Oncologist
amyloidosis,"an_enlarged_tongue, the_disease, breath_numbness, signs, severe_fatigue, amyloidosis_experience_purpura, system:'you, the_body, the_course, patients, purpura, the_eyes____________purpura, thickening, the_eyes___purpura, symptoms, patches, the_skin, diarrhea, feet, amyloidosis, the_eyes, blood, tongue___enlarged_tongue, a_sign, which, its_edge_skin_changes, a_condition, legs, close__close_enlarged_tongue___enlarged_tongue, some_people, (macroglossia, weight_loss, it, easy_bruising, you, enlarged_tongue, the_hands, the_ankles, the_eyes________________purpura, other_parts, close__close_purpura, organs, tongue________________enlarged_tongue_________enlarged_tongue___enlarged_tongue, its_edge, the_eyes_________purpura, i, or_pain, organ_dysfunction, patient, this, weakness_shortness, small_blood_vessels, enlarged_tongue____________enlarged_tongue, fatigue","Dermatologist, Pulmonologist"
amyotrophic lateral sclerosis,"the_disease, your_muscles, that, signs, weakness, system:'you, cognitive_and_behavioral_changes__als, breathing, patients, pain, your_senses, symptoms, your_arms, the_early_stages, feet, ankles, muscle_weakness, your_legs, neurons, als, time, person, trouble, shoulders, your_bladder_control, normal_daily_activities, which, clumsiness_slurred_speech, falling_weakness, limbs, nerve_cells, no_pain, your_body, it, the_later_stages, the_hands, other_parts, als__difficulty, i, muscle_cramps, patient, this","Neurologist, Pulmonologist"
anal cancer,"the_anal_canal, anal_cancer_signs, system:'you, i, patients, the_anus, growth, anal_itching, symptoms, patient, a_mass, the_area, the_anus_or_rectum_pain",Oncologist
anal fissure,"the_stool, that, toilet_paper, system:'you, pain, patients, symptoms, skin_tag, the_skin, a_bowel_movement, rectal_bleeding, bowel_movements, i, the_anus, the_anal_fissure, bright_red_blood, a_small_lump, a_visible_crack, patient, an_anal_fissure, several_hours","Dermatologist, Gastroenterologist"
anal fistula,"blood, anus, the_rectum, the_tunnel_opening_oozing, an_opening, system:'you, i, the_anus, patients, inflamed_area, pus, the_tunnel_opening_pain, symptoms, stool_fever, patient, an_anal_fistula, the_skin","Dermatologist, Infectious Disease Specialist"
anal itching,"the_itching, system:'you, i, soreness, patients, humid_weather, intense_itching, symptoms, irritation, bedtime, patient, the_cause, anal_itching, inflammation",General Practitioner
anaphylaxis,"exposure, signs, hives_and_itching_and_flushed_or_pale_skin_low_blood_pressure_(hypotension)_constriction, system:'you, patients, symptoms, anaphylaxis, minutes, vomiting, rare_cases, an_allergen, trouble, which, anaphylaxis_symptoms, the_airways, a_swollen_tongue, diarrhea_dizziness, fainting, throat, wheezing, i, patient, hours, skin_reactions, a_weak_and_rapid_pulse_nausea","Dermatologist, Otolaryngologist"
